,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,fg_percentage,made_three_point_field_goals,attempted_three_point_field_goals,three_point_percentage,made_free_throws,attempted_free_throws,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,ppg
504,Chris Silva,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,Team.DALLAS_MAVERICKS,1,0,3,1,1,1.0,0,0,,0,0,,0,0,0,0,0,1,2,2,2.0
505,Ben Simmons,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.BROOKLYN_NETS,42,33,1105,133,235,0.566,0,2,0.0,25,57,0.439,40,223,256,54,24,97,139,291,6.9
506,Kobi Simmons,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.CHARLOTTE_HORNETS,5,0,28,1,6,0.167,1,5,0.2,2,2,1.0,1,3,5,0,2,1,0,5,1.0
507,Marko Simonovic,[<Position.CENTER: 'CENTER'>],23,Team.CHICAGO_BULLS,7,0,20,2,7,0.286,1,4,0.25,1,2,0.5,1,1,0,0,0,0,5,6,0.9
508,Anfernee Simons,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,Team.PORTLAND_TRAIL_BLAZERS,62,62,2171,467,1045,0.447,212,562,0.377,160,179,0.894,18,143,253,42,14,128,142,1306,21.1
509,Jericho Sims,[<Position.CENTER: 'CENTER'>],24,Team.NEW_YORK_KNICKS,52,16,812,83,107,0.776,0,1,0.0,12,16,0.75,99,143,25,15,28,27,96,178,3.4
510,Marcus Smart,[<Position.POINT_GUARD: 'POINT GUARD'>],28,Team.BOSTON_CELTICS,61,61,1957,250,602,0.415,115,342,0.336,88,118,0.746,46,145,382,93,23,143,172,703,11.5
511,Dennis Smith Jr.,[<Position.POINT_GUARD: 'POINT GUARD'>],25,Team.CHARLOTTE_HORNETS,54,15,1390,186,452,0.412,24,111,0.216,78,106,0.736,27,140,261,75,25,82,122,474,8.8
512,Dru Smith,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.MIAMI_HEAT,5,1,67,5,14,0.357,1,6,0.167,0,0,,1,8,5,4,3,1,10,11,2.2
513,Dru Smith,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.BROOKLYN_NETS,10,0,91,13,31,0.419,4,13,0.308,3,3,1.0,1,14,17,6,1,2,13,33,3.3
514,Ish Smith,[<Position.POINT_GUARD: 'POINT GUARD'>],34,Team.DENVER_NUGGETS,43,0,398,52,131,0.397,2,12,0.167,2,4,0.5,5,49,100,8,7,44,33,108,2.5
515,Jabari Smith Jr.,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19,Team.HOUSTON_ROCKETS,79,79,2451,364,892,0.408,120,391,0.307,162,206,0.786,122,447,101,43,74,104,227,1010,12.8
516,Jalen Smith,[<Position.CENTER: 'CENTER'>],22,Team.INDIANA_PACERS,68,31,1279,242,508,0.476,54,191,0.283,104,137,0.759,129,265,66,21,60,72,153,642,9.4
517,Xavier Sneed,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.CHARLOTTE_HORNETS,4,0,48,5,10,0.5,3,6,0.5,4,4,1.0,0,5,5,0,1,3,7,17,4.2
518,Jeremy Sochan,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19,Team.SAN_ANTONIO_SPURS,56,53,1458,250,552,0.453,33,134,0.246,81,116,0.698,95,200,142,43,23,97,138,614,11.0
519,Jaden Springer,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20,Team.PHILADELPHIA_76ERS,16,2,89,17,35,0.486,2,5,0.4,6,8,0.75,6,8,8,7,3,3,15,42,2.6
520,Lamar Stevens,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.CLEVELAND_CAVALIERS,62,25,1120,129,288,0.448,30,95,0.316,40,57,0.702,48,159,33,27,19,27,79,328,5.3
521,Isaiah Stewart,[<Position.CENTER: 'CENTER'>],21,Team.DETROIT_PISTONS,50,47,1414,195,441,0.442,67,205,0.327,110,149,0.738,115,288,70,20,34,68,133,567,11.3
522,Max Strus,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26,Team.MIAMI_HEAT,80,33,2272,324,790,0.41,197,563,0.35,78,89,0.876,49,209,171,42,12,70,166,923,11.5
523,Jalen Suggs,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21,Team.ORLANDO_MAGIC,53,19,1246,186,444,0.419,66,202,0.327,86,119,0.723,55,106,155,67,27,94,120,524,9.9
524,Edmond Sumner,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27,Team.BROOKLYN_NETS,53,12,736,124,269,0.461,31,87,0.356,99,108,0.917,13,66,68,31,10,50,83,378,7.1
525,Cole Swider,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,Team.LOS_ANGELES_LAKERS,7,0,41,3,9,0.333,3,8,0.375,0,0,,1,6,4,0,0,0,3,9,1.3
526,Jae'Sean Tate,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27,Team.HOUSTON_ROCKETS,31,7,677,110,229,0.48,13,46,0.283,50,69,0.725,41,77,84,21,7,47,106,283,9.1
527,Jayson Tatum,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24,Team.BOSTON_CELTICS,74,74,2732,727,1559,0.466,240,686,0.35,531,622,0.854,78,571,342,78,51,213,160,2225,30.1
